,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-12-25,251.0071789944704,251.0071789944704,251.0071789944704,250.888788050094,251.0071789944704,251.0071789944704,251.0071789944704,250.888788050094,250.888788050094,250.888788050094,250.888788050094,250.4596115505936,250.888788050094
2020-12-26,251.30956060678827,251.30956060678827,251.30956060678827,251.0071789944704,251.30956060678827,251.30956060678827,251.30956060678827,251.0071789944704,251.0071789944704,251.0071789944704,251.0071789944704,250.57463086990998,251.0071789944704
2020-12-27,251.35148400115315,251.35148400115315,251.35148400115315,251.30956060678827,251.35148400115315,251.35148400115315,251.35148400115315,251.30956060678827,251.30956060678827,251.30956060678827,251.30956060678827,250.75108507022324,251.30956060678827
2020-12-28,251.45273641565032,251.45273641565032,251.45273641565032,251.35148400115315,251.45273641565032,251.45273641565032,251.45273641565032,251.35148400115315,251.35148400115315,251.35148400115315,251.35148400115315,250.888788050094,251.35148400115315
2020-12-29,251.64697849299463,251.64697849299463,251.64697849299463,251.45273641565032,251.64697849299463,251.64697849299463,251.64697849299463,251.45273641565032,251.45273641565032,251.45273641565032,251.45273641565032,251.0071789944704,251.45273641565032
2020-12-30,251.90441104549046,251.90441104549046,251.90441104549046,251.64697849299463,251.90441104549046,251.90441104549046,251.90441104549046,251.64697849299463,251.64697849299463,251.64697849299463,251.64697849299463,251.30956060678827,251.64697849299463
2020-12-31,252.12305977548908,252.12305977548908,252.12305977548908,251.90441104549046,252.12305977548908,252.12305977548908,252.12305977548908,251.90441104549046,251.90441104549046,251.90441104549046,251.90441104549046,251.35148400115315,251.90441104549046
2021-01-01,252.32058411619101,252.32058411619101,252.32058411619101,252.12305977548908,252.32058411619101,252.32058411619101,252.32058411619101,252.12305977548908,252.12305977548908,252.12305977548908,252.12305977548908,251.45273641565032,252.12305977548908
2021-01-02,252.6985458596078,252.6985458596078,252.6985458596078,252.32058411619101,252.6985458596078,252.6985458596078,252.6985458596078,252.32058411619101,252.32058411619101,252.32058411619101,252.32058411619101,251.64697849299463,252.32058411619101
2021-01-03,252.81082276720633,252.81082276720633,252.81082276720633,252.6985458596078,252.81082276720633,252.81082276720633,252.81082276720633,252.6985458596078,252.6985458596078,252.6985458596078,252.6985458596078,251.90441104549046,252.6985458596078
